0821_ctrl_tracking_A.csv
t,set_x,set_y,set_z,set_ry,uav_x,uav_y,uav_z,uav_ry,e_x,e_y,e_z,e_ry,
668.08,1,1,1,-nan,0.40959,0.442299,0.708013,0.00785249,0.59041,0.557701,0.291987,-nan,
668.1,1,1,1,-nan,0.40959,0.442299,0.708013,0.00785249,0.59041,0.557701,0.291987,-nan,
668.12,1,1,1,-nan,0.427003,0.46057,0.72621,0.00835986,0.572997,0.53943,0.27379,-nan,
668.14,1,1,1,-nan,0.442241,0.476565,0.742257,0.00864832,0.557759,0.523435,0.257743,-nan,
668.16,1,1,1,-nan,0.442241,0.476565,0.742257,0.00864832,0.557759,0.523435,0.257743,-nan,
668.18,1,1,1,-nan,0.464093,0.499121,0.764919,0.00913883,0.535907,0.500879,0.235081,-nan,
668.2,1,1,1,-nan,0.464093,0.499121,0.764919,0.00913883,0.535907,0.500879,0.235081,-nan,
668.221,1,1,1,-nan,0.481593,0.516958,0.78234,0.00949314,0.518407,0.483042,0.21766,-nan,
668.241,1,1,1,-nan,0.49686,0.532516,0.797217,0.00974045,0.50314,0.467484,0.202783,-nan,
668.26,1,1,1,-nan,0.49686,0.532516,0.797217,0.00974045,0.50314,0.467484,0.202783,-nan,
668.28,1,1,1,-nan,0.518303,0.557779,0.818521,0.0101289,0.481697,0.442221,0.181479,-nan,
668.3,1,1,1,-nan,0.518303,0.557779,0.818521,0.0101289,0.481697,0.442221,0.181479,-nan,
668.321,1,1,1,-nan,0.535433,0.577337,0.834817,0.0103965,0.464567,0.422663,0.165183,-nan,
668.341,1,1,1,-nan,0.550288,0.594441,0.848729,0.0106635,0.449712,0.405559,0.151271,-nan,
668.36,1,1,1,-nan,0.550288,0.594441,0.848729,0.0106635,0.449712,0.405559,0.151271,-nan,
668.38,1,1,1,-nan,0.571416,0.61809,0.867913,0.0109992,0.428584,0.38191,0.132087,-nan,
668.4,1,1,1,-nan,0.571416,0.61809,0.867913,0.0109992,0.428584,0.38191,0.132087,-nan,
668.42,1,1,1,-nan,0.588233,0.63643,0.882474,0.0111243,0.411767,0.36357,0.117526,-nan,
668.44,1,1,1,-nan,0.602771,0.652376,0.894891,0.0112127,0.397229,0.347624,0.105109,-nan,
668.461,1,1,1,-nan,0.602771,0.652376,0.894891,0.0112127,0.397229,0.347624,0.105109,-nan,
668.48,1,1,1,-nan,0.62333,0.674386,0.912347,0.0113521,0.37667,0.325614,0.0876532,-nan,
668.5,1,1,1,-nan,0.62333,0.674386,0.912347,0.0113521,0.37667,0.325614,0.0876532,-nan,
668.52,1,1,1,-nan,0.63962,0.69143,0.925492,0.0114498,0.36038,0.30857,0.0745077,-nan,
668.54,1,1,1,-nan,0.653706,0.706143,0.936545,0.0113268,0.346294,0.293857,0.0634553,-nan,
668.563,1,1,1,-nan,0.653706,0.706143,0.936545,0.0113268,0.346294,0.293857,0.0634553,-nan,
668.58,1,1,1,-nan,0.673588,0.726451,0.951787,0.0114151,0.326412,0.273549,0.0482135,-nan,
668.601,1,1,1,-nan,0.673588,0.726451,0.951787,0.0114151,0.326412,0.273549,0.0482135,-nan,
668.621,1,1,1,-nan,0.689268,0.742187,0.963222,0.0114507,0.310732,0.257813,0.0367778,-nan,
668.64,1,1,1,-nan,0.702777,0.755727,0.972856,0.0114895,0.297223,0.244273,0.027144,-nan,
668.66,1,1,1,-nan,0.702777,0.755727,0.972856,0.0114895,0.297223,0.244273,0.027144,-nan,
668.68,1,1,1,-nan,0.721853,0.778349,0.986338,0.0114613,0.278147,0.221651,0.013662,-nan,
668.7,1,1,1,-nan,0.721853,0.778349,0.986338,0.0114613,0.278147,0.221651,0.013662,-nan,
668.721,1,1,1,-nan,0.73683,0.795479,0.996304,0.0113866,0.26317,0.204521,0.00369567,-nan,
668.741,1,1,1,-nan,0.749647,0.810334,1.00469,0.0113735,0.250353,0.189666,-0.00469089,-nan,
668.76,1,1,1,-nan,0.749647,0.810334,1.00469,0.0113735,0.250353,0.189666,-0.00469089,-nan,
668.78,1,1,1,-nan,0.767568,0.830423,1.01611,0.0112756,0.232432,0.169577,-0.0161066,-nan,
668.8,1,1,1,-nan,0.767568,0.830423,1.01611,0.0112756,0.232432,0.169577,-0.0161066,-nan,
668.82,1,1,1,-nan,0.781568,0.845666,1.02447,0.0110381,0.218432,0.154334,-0.0244702,-nan,
668.841,1,1,1,-nan,0.793545,0.858793,1.03138,0.0108775,0.206455,0.141207,-0.0313845,-nan,
668.86,1,1,1,-nan,0.793545,0.858793,1.03138,0.0108775,0.206455,0.141207,-0.0313845,-nan,
668.88,1,1,1,-nan,0.810224,0.876504,1.04064,0.0105954,0.189776,0.123496,-0.0406419,-nan,
668.9,1,1,1,-nan,0.810224,0.876504,1.04064,0.0105954,0.189776,0.123496,-0.0406419,-nan,
668.92,1,1,1,-nan,0.823195,0.889907,1.0477,0.0102683,0.176805,0.110093,-0.0476992,-nan,
668.941,1,1,1,-nan,0.834238,0.901355,1.05362,0.0103139,0.165762,0.0986446,-0.0536172,-nan,
668.96,1,1,1,-nan,0.834238,0.901355,1.05362,0.0103139,0.165762,0.0986446,-0.0536172,-nan,
668.98,1,1,1,-nan,0.849605,0.916791,1.06157,0.0101415,0.150395,0.0832086,-0.0615666,-nan,
669,1,1,1,-nan,0.849605,0.916791,1.06157,0.0101415,0.150395,0.0832086,-0.0615666,-nan,
669.02,1,1,1,-nan,0.861546,0.92843,1.06727,0.00984321,0.138454,0.0715701,-0.0672671,-nan,
669.04,1,1,1,-nan,0.875956,0.943037,1.07411,0.00961489,0.124044,0.056963,-0.0741143,-nan,
669.06,1,1,1,-nan,0.875956,0.943037,1.07411,0.00961489,0.124044,0.056963,-0.0741143,-nan,
669.081,1,1,1,-nan,0.885745,0.954365,1.07885,0.00914764,0.114255,0.0456355,-0.0788512,-nan,
669.1,1,1,1,-nan,0.885745,0.954365,1.07885,0.00914764,0.114255,0.0456355,-0.0788512,-nan,
669.12,1,1,1,-nan,0.89661,0.966293,1.08359,0.00881502,0.10339,0.033707,-0.0835888,-nan,
669.14,1,1,1,-nan,0.905814,0.976518,1.08755,0.00860328,0.0941857,0.0234823,-0.0875458,-nan,
